"name", "basic_info", "cost_info", "avg_stars"
강남 더 뮤즈, "사장님 한마디 골드글라스브론즈글라스 객실 Couple Pc 배틀그라운드 가능 최고사양 그래픽카드!!전객실 오버워치급 게임가능 최고사양 노하드 PC 오버워치, 배틀그라운드, 커플PC, UHD대형 TV 연결가능 3인이상 숙소에 문의후 입실가능합니다.호텔프론트 신분증 요청 확인시 미성년자 및 신분증과 상이한 경우 입실불가 혜택안내객실문에 부착된 여기어때 혜택마크를 찾아 QR코드로 혜택받으세요.주차장 정보총 7대 주차시설 보유지하철 정보2호선 역삼역9호선 언주역객실내부 시설 전객실 오버워치급 가능 골드글라스브론즈글라스 객실 Couple Pc 배틀그라운드 가능 최고사양 노하드 PC 오버워치, 배틀그라운드, 커플PC, UHD대형 TV 연결가능", 40,000, 9.8
역삼 호텔 디 아티스트, "혜택안내요금할인주차장 정보 편리한 주차공간 확보 (신규 외부 주차장 완비) 발렛서비스차량 주차는 발렛가능, 체크인시에만 주차가능합니다.(체크인 전 미리주차와 차량1대외 2대시,주차불가 상품 구매 후, 차량으로 입실시 20,000원 추가요금발생)필히 예약전 숙소로 문의바랍니다)총 20대 주차시설 보유지하철 정보2호선 역삼역9호선 언주역객실내부 시설전 객실 금연 호텔 외부 정해진 구역에서만 흡연가능합니다프런트 및 그 외 시설전객실 바이러스케어존세스코 에어제닉설치필수사항체크인 전, 신분증 제시에 협조부탁드립니다신분증 확인이 안되면 입실불가하며,취소, 환불 불가합니다이용안내코로나 관계없이 내부방침상,전 객실 이용인원은 2인 기준인원추가는 안되며, 이불제공안됩니다또한, 남성2인 여성1인 또는 여성2인 남성1인도 마찬가지로입실불가하며, 객실 2룸 구매후, 한 객실에 모여계시는것도 안됩니다이경우 취소및 환불 불가하니 참고바랍니다전 객실 랜덤배정차량 주차는 발렛가능, 체크인시에만 주차가능합니다.(체크인 전 미리주차와 차량1대외 2대시 20,000원 추가요금발생)체크인 시간 및 요금은 호텔사정에 따라 변동될수 있습니다.얼리체크인과 레이트 체크아웃시 추가요금 발생됩니다.고데기는 프론트에서 무상대여가능하며와인잔 및 와인오프너는 프론트에서 구매가능합니다", 35,000, 9.2
역삼 리치웰, "사장님 한마디 리치웰 호텔 전객실 Netflix 프리존 (무료시청가능,자동로그인) 전 객실 2인 기준적용(디럭스,스위트,로얄스위트만 최대4인까지적용 1인당 추가요금 2만원발생,이불X) 퇴실 30분전 퇴실콜드림 (안받을시 자동연장요금발생 객실별 요금다름) 신분증 미 지참시 입실이 거부될수있습니다 (신분증미지참시 취소및환불불가) 애완동물 출입불가 객실지정불가(사진과다를수있음랜덤배정) 객실 내 물품및 재산상 손해발생시 법적책임을 질수있습니다 객실당 차량 1대 가능(전객실 모두 동일함) 2대절대불가 입실전 미리주차 절대불가 주차타워 불가차량 안내 튜닝카, 트럭 , 승합차 , 카니발, 마세라티전차량 ,고가 스포츠카및 세단 등등특수차량 및 주차타워 입고불가차량 (호텔에문의)타워주차불가차량은 (디럭스,스위트,로얄스위트) 객실만 사용가능(일반실사용불가) 호텔에 사전문의없이 주차불가차량으로 일반실예약시 차액발생 할수있음(예약취소 불가능) 혜택안내요금할인주차장 정보객실당 1대만 가능 (2대 절대불가)벤틀리,롤스로이스,페라리,람보르기니,고급슈퍼카,카니발, 포르쉐,승합차, 튜닝카, 트럭, 특수차량등등주차기계에들어가지못하는차량 절대 주차불가모든 오토바이 및 킥보드 주차불가입실 전 미리주차 절대 불가총 25대 주차시설 보유지하철 정보2호선 역삼역9호선 언주역객실내부 시설55인치 커브드 TV,천연 오가닉 Amini 어메니티,최고급 맞춤 SEDEC 가구프런트 및 그 외 시설전 객실 에이스 침대객실지정예약불가(랜덤배정)그로 인한 취소 환불은 불가합니다추가 안내사항객실 인원추가 1인 2만원(추가 이불 제공 X)스페셜 상품 시간 확인 필수연박 불가연박 시 추가 요금 발생 호텔 사전 문의 필수", 35,000, 9.3
강남 캠퍼스, "사장님 한마디 Deluxe 타입 객실 75 SMART TV ! 넷플릭스 이용 가능리얼 리뷰 후기 이벤트 중 ! 리얼 사진 리뷰를 올려주신 분들중 추첨을 통하여 스타벅스 커피 상품권을 선물로 드립니다! 어플 예약 주말 특가! 앱에서 바로 예약 일요일 숙박 결제시 현장 방문보다 저렴한 가격으로 이용 가능! 객실당 입실 가능 인원수는 2인으로 제한되어있습니다 (인원추가불가당일 예약취소불가)신분증 미지참시 입실불가 취소불가 (주민등록증 운전면허증 정증으로 확인 휴대폰 확인 불가) 혜택안내요금할인주차장 정보저희 캠퍼스 호텔은 주차가 불가능하오니 꼭 확인 후 예약바랍니다.주차관련으로 인한 당일 취소 및 환불은 불가능하오니 이점 참고하시기 바랍니다.주변 주차장관련해서는 이용자 본인이 직접 검색하시어 알아보시기바랍니다.주차장 미보유 숙소입니다. 도보로 이용해 주세요.지하철 정보2호선 강남역", 40,000, 9.3
역삼 인트로호텔, "주차장 정보지상 주차장과 지하주차장을 사용할수 있습니다객실당 1대만 주차할수 있습니다슈퍼카,튜닝카,화물차,승합차,카니발등 특수차량은 예약하시기전 호텔에 문의 바랍니다총 15대 주차시설 보유지하철 정보2호선 역삼역9호선 언주역객실내부 시설모든 객실 75인치 스마트 TV 통 메모리폼 킹 사이즈 매트리스모든 객실 금연실로 운영중 입니다객실 내 흡연시 과태료가 부과 됩니다프런트 및 그 외 시설슈퍼카,튜닝카,화물차,승합차,카니발등 특수차량은 예약하시기전 호텔에 문의 바랍니다", 30,000, 9.9
역삼 PREMIER XYM, "사장님 한마디 신분증 미 지참시 입실이 거부 될 수 있으며 이로인해 입실을 하지 못 할 경우 취소나 환불이 불가합니다.전 객실은 2인 기준 요금 이며 2인까지만 입실 가능합니다.스위트 1인 추가가능(대실시 3만원 숙박시 2만원), 로얄스위트 2인 추가가능(1인당 2만원 씩 총 4만원) 그 이상 인원은 추가 하실 수 없으며 침구는 따로 추가 되지 않습니다.디럭스,프리미엄 이용 시 인원 추가 불가하며 이불은 추가로 이용하실 수 없습니다퇴실 30분전 퇴실콜을 드리며 전화 연결이 불가하거나 받지 않으실 경우 자동으로 연장되며 요금이 발생 합니다. 객실 별 요금이 다른 점 양해 부탁드립니다.ott 서비스는 넷플릭스와 유튜브만 이용 가능합니다.취소 문의는 여기어때 고객행복센터 15444087로 문의 바랍니다.예약 날짜가 지난 예약건에 한해서는 결제정보 변경(카드변경후 재결제) 등 어떠한 사유로도 취소나 변경이 불가합니다.동성은 체크인 불가합니다.공지 미 숙지로 인해 입실이 불가 한 경우 취소나 환불이 불가 한 점 미리 안내 드립니다. 주차장 정보기계식 주차장을 보유한 숙소입니다. 주차타워에 주차가 불가한 차량은 주차 제한이 되므로 숙소에 문의 부탁드립니다. 주차 제한 차량 (suv, rv, 박스카, 럭셔리세단, 튜닝카, 이륜차, 스포츠카 등)1객실 당 1대만 주차 가능(2대 이상 주차 불가, 미리 주차 불가)입실시간에 맞춰서만 주차가 가능합니다.트럭, 승합차, 특수 차량, 슈퍼카 고급 럭셔리 세단, 이륜차 킥보드 등 절대 주차 불가 합니다.주차불가차량 가지고 오실 경우나 도보 전용 객실로 예약 시 차량은 외부 주차장에 주차 하고 오셔야 합니다. 공지사항을 숙지하지 못 하고 차량 가지고 오셨을 경우 숙소 이용 불가 하며 취소 또한 불가 합니다.총 15대 주차시설 보유지하철 정보2호선 역삼역9호선 언주역", 30,000, 9.5
역삼 컬리넌, "주차장 정보주차는 객실당 1대 무료 주차 가능합니다.(추가 차량이 있을시 추가 요금 발생)체크 인 시간 이전 선주차 불가(무료 주차 1대 외 차량은 추가 요금 발생)특수차량이용시(대형차량,특수차량, 슈퍼카, 개조차량등)주차가 불가할 수 있으니 호텔로 문의바랍니다. 벤틀리, 롤스로이스, 페라리, 람보르기니 등등 최고급 외제차들은 주차 불가합니다.총 1대 주차시설 보유지하철 정보2호선 역삼역수인분당선 선릉역객실내부 시설객실은 랜덤배정으로 이미지와 다른 객실이 배정이 될 수 있습니다.디럭스프리미엄 2인기준스위트로얄스위트 최대 4인까지 입실 가능합니다.(2인 외 추가 인원 1인당 2만원씩 추가 요금 발생)기준 인원보다는 추가 인원 입실 불가능합니다.(추가 이불 운영 안합니다.)신분증 미 지참시 입실이 거부될 수 있습니다.(신분증 미지참시 취소 환불 불가)전 객실 Netflix 프리존(무료시청 가능, 자동 로그인)전체 건물, 전 객실 금연 구역 운영프런트 및 그 외 시설로비에 방문하는 고객을 대상으로 간단한 음료가 제공됩니다.", 70,000, 9.3
강남 클릭, "혜택안내객실문에 부착된 여기어때 혜택마크를 찾아 QR코드로 혜택받으세요.주차장 정보총 10대 주차시설 보유지하철 정보수인분당선 선정릉역", 30,000, 9.2
강남 648호텔, "혜택안내요금할인주차장 정보Free Parking (객실당 1대 무료주차) 지상주차 (20대이상 가능)추가 차량 주차요금 추가되십니다.(1객실당 1대 무료)추가주차시 주차요금발생(문의는 호텔로 부탁드립니다)총 1대 주차시설 보유현재 주차장 만차 도보로 이용해주세요.지하철 정보2호선 역삼역2호선 강남역주변 정보강남역 역삼역 도보 5분 거리객실내부 시설팬트하우스648 이벤트룸 이용안내(자정12시부터는 짖원부재중입니다 키오스크 체크인 부탁드립니다)코로나로인하여 펜트하우스A,펜트하우스B,펜트하우스648 객실은 인원이 변동될수 있습니다이용금액 : 15만원(기본시간 3시간 시간연장은 1시간당 50,000원 선불결제후 연장가능후불결제 불가)입실인원 : 기준인원3명(4명까지 가능)기본규정코로나로인하여 펜트하우스A,펜트하우스B,펜트하우스648 객실은 인원이 변동될수 있습니다주말기준은 금,토요일 공휴일,특정일의 전날로 사정상 변경될 수 있습니다호텔의 사정에 따라 세부조건은 변경될 수 있습니다팬트하우스648 4인기준 초과시 호텔에 문의팬트하우스A 펜트하우스B 4인기준혼숙불가,혼숙으로 입실거부될시 취소불가합니다.펜트하우스객실 4인기준 초과로 입실거부될시 취소불가합니다.애완견 동반 입실 불가. 동반입실시 퇴실조치 될수 있습니다. (퇴실조치시 환불불가)자세한 사항은 호텔로 문의 부탁드립니다시간이 경과되면 시간추가요금이 발생합니다(1시간당:15,000원 현금결제)호텔 객실 내부사진은 어플에서 보여지는 것과 조금 다를수 있습니다이해부탁드립니다펜트하우스648펜트하우스B펜트하우스A코로나로인하여 펜트하우스A,펜트하우스B,펜트하우스648 객실은 인원이 변동될수 있습니다(평일) 일~목, (주말) 금~토 기준펜트하우스6481~4인 기본3시간 15만원(평일) 18만원(주말)펜트하우스A펜트하우스B1~4인 기본 3시간 7만원(평일) 11만원(주말)자세한 문의는 호텔로 전화 부탁드립니다코로나로인하여 인원은 단계별로 변동될수 있습니다호텔 객실 내부사진은 어플에서 보여지는 것과 조금 다를수 있습니다이해부탁드립니다코로나로인하여 펜트하우스A,펜트하우스B,펜트하우스648 객실은 인원이 변동될수 있습니다프런트 및 그 외 시설코로나로인하여 펜트하우스A,펜트하우스B,펜트하우스648 객실은 인원이 변동될수 있습니다(저희 호텔은 자정12시부터는 부재중으로 키오스크체크인을 진행합니다,문자메세지로받은 예약번호 4자리입력후 체크인진행하시면 됩니다 감사합니다) 문의 사항이나 이용사항은 프론트에 문의 바랍니다프론트는 24시간 이용가능합니다3인이상 혼숙불가하며 3인이상 혼숙으로 입실 거부될 시 취소 불가합니다.코로나로인하여 펜트하우스A,펜트하우스B,펜트하우스648 객실은 인원이 변동될수 있습니다", 40,000, 8.2
역삼 H Avenue-역삼점, "사장님 한마디 방문방법 도보로 선택 후 차량 방문 시 주차 절대 불가합니다.호텔메인 맨 아래 숙소정보 필독 후 예약해주세요 미확인으로 인한 환불취소 불가넷플릭스 본인계정 로그인 후 이용가능전 객실 금연입니다.예약시 보이는 숙소이용정보는 호텔규정과는 별도입니다.(여기어때 공통공지사항) 주차장 정보공지 미확인으로 인한 환불은 불가하며 꼭 공지 확인부탁드립니다.자세한 사항은 호텔측에 문의 부탁드립니다.주차는 1객실 당 1대만 가능합니다. (추가 주차 불가)예약자분들 차량 숫자에 맞춰 주차자리 확보해두니, 객실 예약할 때 방문방법 도보 로 선택 후 차량 방문 시 주차 절대 불가합니다. (주차 가능객실로 예약하여도 도보로 선택 시 주차불가)체크인시간부터 체크아웃 시간 까지만 주차 가능합니다.주차장이 협소하여 미리 주차는 어려운 점 참고 부탁드립니다.총 15대 주차시설 보유지하철 정보2호선 역삼역9호선 언주역객실내부 시설공지사항 (예약 전 꼭 확인해주세요)방문방법 차량으로 예약한 분들만 차량 1대 주차가능합니다. 도보선택 후 차량방문 시 주차 불가디럭스AB 객실은 욕조 유무 객실 체크인 시 랜덤배정됩니다. (지정 불가)도보전용디럭스디럭스AB 최대인원 2인(인원추가 및 침구추가 불가)디럭스 트윈AB 최대3인(추가 침구류 제공불가)프리미엄 트윈 기준3인최대3인(4인 입실원할 경우 호텔측에 문의 바랍니다.(인원추가요금 20,000원 발생, 사전요청 시 침구류1SET제공)3인이상 혼숙미성년자 입실 절대 불가(이로인한 취소 및 환불 불가합니다.)입실하는 인원 기준으로 최대인원 이상 입실 불가합니다.(방문객도 입실불가)4. 가족 입실 경우 가족관계증명서 필수 지참해야 합니다.체크인 전 프런트에서 짐 보관가능하나, 분실에 대해 책임지지않으니 귀중품은 따로 보관바랍니다.따로 맡기지 않은 분실물건에 대해 책임지지 않습니다.발견된 분실물은 2주동안 보관해드립니다. 이후 자동폐기됩니다연박 시 대실요금 추가됩니다. 호텔에 문의해주세요.미입실로 인한 환불 불가하니 예약 시 날짜 확인 부탁드립니다.반려동물 동반 입실 불가 주차 안내(예약 전 꼭 확인해주세요!)주차는 방문방법 차량으로 선택한 예약에 한해 1객실 당 1대만 가능합니다. (추가 주차 불가)방문방법 차량으로 예약한 분들만 차량 1대 주차가능합니다. 도보선택 후 차량방문 시 주차 불가체크인시간부터 체크아웃 시간 까지만 주차 가능합니다.추가요금 공지사항얼리체크인레이트체크아웃 시 시간당 추가요금 자동 발생됩니다.30분 초과 시부터 시간 당 추가 요금으로 발생됩니다.(EX. 디럭스 1시간30분 초과 : 추가요금 2만원 발생)디럭스디럭스트윈 시간당 10,000원 추가요금 발생프리미엄트윈 시간당 15,000원 추가요금 발생스위트로얄스위트 시간당 20,000원 추가요금 발생연박 시 대실요금 추가발생합니다.부띠크 호텔 특성 상 사진과 다른 객실이 배정될 수 있습니다.모든 공지사항프런트 및 그 외 시설 스위트,로얄스위트 객실안내(예약전 필독!)공지 미확인으로 인한 환불불가스위트 기준2인최대4인(취사가능, 루프탑수영장, 야외 미니 글램핑장)2인초과 시 인원당 20,000원씩 추가요금 발생(3인이상 입실 시 추가이불 1SET 제공가능, 사전 요청해야 제공됩니다)로얄스위트 기준4인최대6인(복층, 취사가능, 단독 루프탑수영장, 야외 글램핑장)4인초과 시 인원당20,000원씩 추가요금 발생(5인이상 입실 시 추가이불 1SET 제공가능, 요청해야 제공됩니다)최대인원 초과 시 객실 1개 더 예약하셔야 됩니다.수영장 이용안내수영장 이용 시 추가요금 100,000원 발생합니다.안전상 문제로 오후 20시 이후에는 물 받는게 불가합니다.동절기 및 기후상황이 좋지 않을 시 수영장 이용이 불가합니다.(비, 눈, 태풍, 등)수영장은 위생,오염방지로 인해 수영장 물을 미리 채우지 않기 때문에 당일 입실 2시간전에 미리 연락부탁드립니다. 연락 없을 시 미사용으로 간주합니다.수영장 물 온도(동절기 미온수그외 : 항상 냉수) 취사 정보(예약 전 꼭 확인해주세요)스위트, 로얄스위트 객실 내부에 연기감지기 설치되어 있어 취사불가합니다.야외 글램핑장에서 취사 가능합니다.스위트 : 취사에 필요한 조리도구 및 식재료 직접 구비, 가스그릴 사용가능(입실 하루 전 요청해야 제공됩니다. 미요청 시 제공불가)로얄스위트 : 취사에 필요한 조리도구 및 식재료 직접 구비, 가스그릴 사용가능(글램핑장에 설치되어 있음)가스그릴 이용 시 주의사항가스통은 직원 외에 절대 만지지 말고, 사용 시 프런트에 문의주세요.화재위험 및 안전사고에 유의해주세요.전기제품 및 가스제품 사용 시 안전수칙 지켜주세요.(화상,폭발사고,감전사고,가스누수 등)늦은 저녁 시간 다른 고객분들을 위해 음주가무 및 고성방가 금지물놀이 시 안전사고에 주의해주세요.호텔 모든 시설 이용 시 발생하는 안전사고는 호텔에서 책임지지않습니다.", 30,000, 9.4
강남 녹스 호텔, "사장님 한마디 1.전객실최신온라인게임가능(노하드pc)2.휘트니스센터,세탁실24시간운용3.강남최고의스위트룸,로얄스위트룸,펜트하우스보유 혜택안내요금할인주차장 정보주차장이 협소한 관계로 주차로 우선주차 이며주차장이 없을 경우 외부 유료주차장을 이용해주세요총 16대 주차시설 보유현재 주차장 만차 도보로 이용해주세요.지하철 정보2호선 역삼역9호선 언주역객실내부 시설스탠다드 ,디럭스 기준인원 2명 (추가인원 불가)프리미엄 기준인원 2명 최대인원2명 (추가인원 1인당 10,000원)스위트룸 (단층 1202호) 기준인원 2명 최대인원2명로얄 스위트룸 (복층 1201호) 기준인원 2명 최대인원2명로얄 스위트룸 (수영장 301호) 기준인원 2명 최대인원2명로얄 스위트룸 (수영장 301호) 이용시 수영장 물 온도는 25도 28도 사이 입니다 물 온도는 임의로 변경이 불가하니 착오 없으시기 바랍니다스위트룸 (단층), 로얄스위트룸 (수영장), 로얄 스위트룸 (복층) 이용시 음악 및 스피커 사용은 PM11시 까지만 가능합니다.스위트룸 노래방 이용 가능합니다.1객실 당 주차 1대만 가능 합니다 (전 객실 모두 동일)여기어때 회원혜택은 제휴점 내규에 의거합니다 미성년자 예약으로 인한 입실거부는 취소환불이 불가합니다프런트 및 그 외 시설2층 로비에 각종 음료와 커피,그리고 차 한잔의 여유지하3층 세탁시설", 30,000, 9.3
역삼 브라운도트, "사장님 한마디 객실은 랜덤배정으로 상품 이미지와 다를 수 있습니다.주차는 1객실당 1대만 가능하며, 특수차량(튜닝카,스포츠카,승합차,대형차량일부전기차)등 주차타워 이용이 불가능한 차량은 주차이용이 불가능 합니다.전체 판매상품은 기본 2인 기준이며, 일부객실에 한하여 추가 인원 이용이 가능하며, 추가 요금이 발생합니다.해당 매장 이용시 매장 및 객실 내 손상이 발생할 경우 법적 책임을 물을 수 있습니다.이용안내에 명시된 내용으로 인한 취소 및 환불은 불가능합니다.퇴실시간 시간당 추가 요금이 발생합니다. 일부 상항에따라 시간추가가 안될수있으니 프론트 문의 바랍니다. 넷플릭스 웨이브 티빙 디즈니 플러스 무료이용 가능하십니다. (디즈니 플러스는 스위트객실만 이용가능)주차장 정보주차시 당호텔은 기본적으로 기계식리프트주차입니다리프트진입이 안되면 추가요금 만원이 발생할 수 있습니다.(프리미엄,스위트제외)슈페리얼객실이용시 해당리프트 진입이 안되는차량(튜닝카, 스포츠카, 승합차, 대형차량)공차중량이나 길이가 주차타워 기준에 맞지않아 이용이 불가능한 차량(전기차일부,대형세단,대형suv)리프트 이용을 원치 않는차량꼭 당호텔에 미리문의바랍니다.객실이용시 미리 주차안됩니다.총 20대 주차시설 보유지하철 정보2호선 역삼역9호선 언주역프런트 및 그 외 시설편의 시설루프탑 운영중 루프탑 패키지 구매시 단독 이용가능(바베큐 그릴운영중, 부수적인 음료 및 음식, 식기류는 개인적으로 준비하셔야합니다.)전객실 netflix,wavve,tning, wifi 무료이용 가능전객실 무선 충전기 설치일부객실 스타일러 이용가능전객실 향균 ACE침대전체 건물, 전객실 금연구역 운영중비대면이 생활화된 시기에 맞는 키오스크 운영중주차는 1객실당 1대만 가능하며, 특수차량(튜닝카, 스포츠카, 승합차, 대형차량)등 주차타워 이용이 불가능한 차량은 주차이용이 불가능전체 건물 및 전객실 프리미엄 방역업체 세스코의 방역관리와 쾌적한 이용 환경을 제공", 70,000, 9.7
역삼 스타 프리미어, "사장님 한마디 전 객실 넷플릭스 무료시청 가능, 전 객실 pc이용 가능배틀그라운드, 오버워치 등 유료게임 이용 시 본인이 구매한 계정을 소유하고 있어야합니다.전 객실 최대 인원 2인이며, 3인 이상 혼숙 불가합니다(코로나 단계에 따라 스위트B, 트윈룸은 동성 3인까지 가능)미성년자는 절대입실 불가합니다 (2023년 기준, 생일이 지난 2004년생 부터 입실가능 이를 어기고 예약 시 환불 불가) 주차장 정보 정문 1층 주차장 발렛 파킹 주차서비스 가능객실 당 주차 1대 가능입실시간 외에 미리 주차는 안됩니다.총 23대 주차시설 보유지하철 정보2호선 역삼역9호선 언주역주변 정보객실은 부티크 호텔 특성 상 이미지와 다른 객실이 배정될 수 있습니다.객실 지정은 불가 합니다 (체크인 시 랜덤 배정)입실 시간 외에 미리 주차는 불가 합니다.객실 당 차량 1대 주차 가능합니다.(단, 도보 전용특가 객실은 주차 불가)숙박 12시간 기준입니다. (단 AM 03:00 이후 체크인 시 10시간 제공)체크 아웃 시간 이후 퇴실 시 자동으로 추가 요금 부과됩니다.전 객실 최대 인원 2인.( 단, 스위트B트윈룸은 3인까지 가능하나 인원 추가 요금 발생)오버워치, 배틀그라운드 등 유료 게임 이용 시 본인이 구매한 계정을 소유하고 있어야 합니다.객실 키 분실 시 분실료가 부과 되니 외출 시 프런트에 보관 바랍니다.미성년자는 절대입실 불가합니다 (2023년 기준, 생일이 지난 2004년생 부터 입실가능 이를 어기고 예약 시 환불 불가)연박 시 추가 요금 발생합니다.(호텔 측에 문의)반려 동물 동반 입실 불가 합니다.자세한 사항은 호텔로 문의 주세요객실내부 시설객실은 부티크 호텔 특성 상 이미지와 다른 객실이 배정될 수 있습니다. (객실 지정 불가)정원 2명 유지하면서 객실 릴레이 사용 금지미성년자는 입실 불가합니다 (2023년 기준, 생일이 지난 2004년생 부터 입실가능)스위트B와 트윈룸만 인원 추가 시 동성 최대 3인 이용 가능합니다연령을 떠나 가족 이외에는 3인실 혼숙 불가(가족일 경우 가족관계 증명서 제출)신분증 요청 시 실물 신분증을 제시해주셔야 합니다 (사진으로는 입실 불가)프런트에 맡기지 않은 귀중품은 책임지지 않습니다 체크아웃 시간 30분 초과 퇴실 시 추가 요금 부과됩니다.1층에서 와인잔, 오프너 대여해드립니다.숙박의 경우 AM 03:00 이후 체크인 시 10시간 제공 됩니다.전 객실 최대 인원 2인 (스위트B, 트윈룸은 동성 3인까지 가능) 게임룸 경우 유료 게임 이용 시 본인 계정 필요. 게임룸 노하드PC로 설치된 게임 이외의 게임 이용시 미리 문의 바랍니다.분실물은 습득일로부터 2주간 보관하며 이후엔 폐기처분합니다.객실 키 분실 시 분실료 부과되오니 외출 시 프런트에 보관바랍니다.반려동물 입실 절대 불가미성년자는 절대입실 불가합니다 (2023년 기준, 생일이 지난 2004년생 부터 입실가능 이를 어기고 예약 시 환불 불가)자세한 사항은 호텔로 문의 주세요프런트 및 그 외 시설 전 객실 넷플릭스 무료 시청가능 (호텔 계정 제공 단, 이용 인원이 많을 시 추가 제공은 어렵습니다) 전 객실 PC이용 가능(도보전용, 스탠다드, 디럭스, 트윈, 스위트 객실 노하드PC) 게임룸 객실 오픈! 최고사양 2PC (7.1ch 진동 게이밍 헤드셋 대여 가능) 전 객실 최고급 침구류, 비데, 공기 청정기 비치 스위트 객실 스타일러, 안마의자, 전자렌지 비치 TV와PC 연결 가능, WiFi free ,전 객실 고데기, 스킨로션 비치 전 객실 고속 무선 충전기 비치 완료(호환이 안되거나 추가로 충전기가 필요하시면 프런트에서 무상 대여 해드립니다)", 25,000, 9.2
역삼 아드리게, "주차장 정보주차 불가차량 : SUV차량, RV차량, 튜닝차량, 구형 에쿠스주차시설을 보유한 숙소입니다.(차량 이용 시 숙소에 문의해 주세요.)지하철 정보2호선 역삼역9호선 언주역", 40,000, 9.1
